num_words,syll_per_word,words_per_sent,unique,freq,type,how_to,name
1739.0,1.3783783783783783,15.954128440366972,0.28924669350201265,0.008763592235767656,health_how_to,1,1-bodybuilding-deadlift
916.0,1.4235807860262009,10.292134831460674,0.42467248908296945,0.0051865491222707295,health_how_to,1,10-26-ways-healthy
1290.0,1.4403100775193798,21.864406779661017,0.49767441860465117,0.006286404805271317,health_how_to,1,11-20-quick-ways-healthier
1531.0,1.6028739386022208,16.28723404255319,0.46636185499673416,0.005698937139581953,health_how_to,1,12-15-easy-ways-healthier
668.0,1.5419161676646707,23.03448275862069,0.5,0.006659395529191614,health_how_to,1,13-how-to-basically-healthy
715.0,1.4167832167832168,19.324324324324323,0.3776223776223776,0.007182772203636352,health_how_to,1,14-how-to-orange-chicken
692.0,1.3670520231213872,16.878048780487806,0.40173410404624277,0.008564031674132935,health_how_to,1,2-bloody-nose-stop
295.0,1.4033898305084747,24.583333333333332,0.576271186440678,0.007622842783050841,health_how_to,1,3-sprained-ankle-webmd
866.0,1.4376443418013858,20.13953488372093,0.4618937644341801,0.004875601552771353,health_how_to,1,4-healthy-habits-webmd
789.0,1.5297845373891001,16.78723404255319,0.4600760456273764,0.006258030599112784,health_how_to,1,5-stay-fit-livestrong
524.0,1.4064885496183206,23.818181818181817,0.48854961832061067,0.007048416444847326,health_how_to,1,6-goblin-squat
541.0,1.4676524953789278,15.911764705882353,0.4436229205175601,0.00844966054898336,health_how_to,1,7-hanging-leg-raise
817.0,1.3708690330477356,13.616666666666667,0.3733170134638923,0.007968288242350055,health_how_to,1,8-how-to-do-cpr
515.0,1.3805825242718446,23.40909090909091,0.4640776699029126,0.006579483400582513,health_how_to,1,9-downward-dog
709.0,1.7461212976022567,28.36,0.43723554301833567,0.007980154759238368,health_news,0,1-fda-sunscreen-cnn.txt
658.0,1.656534954407295,14.954545454545455,0.4316109422492401,0.00722408912826748,health_news,0,10-truth-about-fats-ndtv.txt
646.0,1.5371517027863777,18.457142857142856,0.4953560371517028,0.006650500399845192,health_news,0,2-sweating-intense-workout-cnn.txt
704.0,1.4588068181818181,15.304347826086957,0.5184659090909091,0.006024266911931817,health_news,0,3-7-healthy-snacks-travel-menshealth.txt
1124.0,1.6316725978647686,24.977777777777778,0.44661921708185054,0.006049041415569378,health_news,0,4-protein-craze-missing-mark-eurekalert.txt
798.0,1.6077694235588973,26.6,0.42857142857142855,0.006811249693233073,health_news,0,5-eat-way-mental-health-cnn.txt
1433.0,1.6064200976971388,20.768115942028984,0.4515003489183531,0.006371622294417292,health_news,0,6-brain-fitness-marketwatch.txt
842.0,1.5486935866983373,32.38461538461539,0.43824228028503565,0.0061543006057007115,health_news,0,7-what-people-google-hospital-gizmodo.txt
359.0,1.7298050139275767,23.933333333333334,0.5598885793871866,0.008019302780222838,health_news,0,8-japanese-plant-youth-medicalnewstoday.txt
777.0,1.5186615186615187,18.5,0.41055341055341055,0.005978385267696262,health_news,0,9-unhealthy-food-good-lifehacker.txt
1393.0,1.4716439339554916,17.19753086419753,0.35104091888011485,0.008154276348241172,tech_how_to,1,1-recover-hard-drivei-howstuffworks
953.0,1.5519412381951732,17.327272727272728,0.3672612801678909,0.006265481707240278,tech_how_to,1,10-protect-your-data-computerhowto
1043.0,1.4822627037392138,22.19148936170213,0.3461169702780441,0.006864848666059426,tech_how_to,1,11-set-up-personal-cloud-onlinetechtips
1099.0,1.6141947224749773,22.428571428571427,0.40764331210191085,0.007546649723930832,tech_how_to,1,2-jailbreak-howstuffworks
1134.0,1.5211640211640212,19.220338983050848,0.36860670194003525,0.006517659068518507,tech_how_to,1,3-back-up-hardrive-howstuffworks
2712.0,1.4966814159292035,20.238805970149254,0.28392330383480824,0.0075330956216445285,tech_how_to,1,4-common-windows-10-problem-techradar
1579.0,1.4604179860671311,26.76271186440678,0.29892336922102597,0.008454606560164623,tech_how_to,1,5-use-egpu-mac
2893.0,1.444521258209471,21.42962962962963,0.3304528171448324,0.007925690797787738,tech_how_to,1,6-wired-build-pc
409.0,1.452322738386308,15.73076923076923,0.49877750611246946,0.005451502114914422,tech_how_to,1,7-how-to-test-twitters-features
1704.0,1.5434272300469483,16.871287128712872,0.3004694835680751,0.008127653435328579,tech_how_to,1,8-minecraft-gamepedia-mods
806.0,1.4156327543424319,15.5,0.4106699751861042,0.006604526792307674,tech_how_to,1,9-how-to-code
507.0,1.7297830374753451,22.043478260869566,0.4990138067061144,0.005726742743589736,tech_news,0,1-apple-car-van-9to5mac
839.0,1.834326579261025,25.424242424242426,0.46245530393325385,0.0075801566125148915,tech_news,0,10-facial-recognition-wired
526.0,1.693916349809886,27.68421052631579,0.5,0.006717090711406838,tech_news,0,11-child-exploitation-cnn
284.0,1.5774647887323943,20.285714285714285,0.4507042253521127,0.007352163032746478,tech_news,0,12-fb-android-tracking
4097.0,1.5909201855015864,21.79255319148936,0.34659506956309494,0.007637285618696632,tech_news,0,13-wired-alexa
1333.0,1.6151537884471119,20.196969696969695,0.4006001500375094,0.007294407067666901,tech_news,0,14-quantum-computing-techcrunch
3288.0,1.7484793187347931,24.0,0.41088807785888076,0.006995256774026767,tech_news,0,2-palantir-knows-secrets
712.0,1.6123595505617978,28.48,0.4887640449438202,0.007426601655617978,tech_news,0,3-apple-samsung-huawei-cnbc
3185.0,1.4932496075353219,17.793296089385475,0.29921507064364206,0.007179431501318667,tech_news,0,4-google-duplex-cnet
2194.0,1.6832269826800366,34.28125,0.37921604375569734,0.007031248098723781,tech_news,0,5-climate-crisis-gizmodo
2686.0,1.6593447505584513,34.0,0.37192851824274015,0.0070532260580417,tech_news,0,6-doordash-valuation-techcrunch
495.0,1.694949494949495,27.5,0.5050505050505051,0.0077910359789898935,tech_news,0,7-tesla-model-3-engadget
1719.0,1.5253054101221641,20.710843373493976,0.30250145433391507,0.0063520095165793865,tech_news,0,8-wifi-6-theverge
192.0,1.4010416666666667,24.0,0.5989583333333334,0.007933097421874999,tech_news,0,9-the-verge-5g
